ORI_NAME,COL_NAME
編號,SERIALNUM
土地位置,ADDRESS
土地移轉面積平方公尺,LAND_AREA
使用分區或編定,DISTRICT_NUM
權利人持分分母,RIGHTS_HOLDER_ALL
權利人持分分子,RIGHTS_HOLDER
移轉情形,TRANSFER
地號,LAND_SERIAL
