Operator,Code
臺鐵,TRA
高鐵,THSR
臺北捷運,TRTC
高雄捷運,KRTC
桃園捷運,TYMC
新北捷運,NTDLRT
臺中捷運,TMRT
高雄輕軌,KLRT
阿里山森林鐵路,AFR
