CODE2,CODE1,CODEBASE,AREA_SUM,L01_SUM,L0101,L0102,L0103,L0104,L02_SUM,L0201,L0202,L0203,L0204,L0205,L0206,L0207,L03_SUM,L0301,L0302,L0303,L0304,L0305,L0306,L04_SUM,L0401,L0402,L0403,L0404,L0405,L0406,L05_SUM,L0501,L0502,L0503,L0504,L0505,L0506,L0507,L0508,L06_SUM,L0601,L0602,L0603,L0604,L0605,L0606,L07_SUM,L0701,L0702,L0703,L08_SUM,L0801,L0802,L0803,L09_SUM,L0901,L0902,L0903,L0904,L0905,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,土地面積總數,農業利用土地總數,農作使用,水產養殖,畜牧,農業相關設施,森林利用土地總數,針葉林,闊葉林,竹林,混淆林,灌木林,待成林地,其他森林利用土地,交通利用土地總數,機場,一般鐵路及相關設施,高速鐵路及相關設施,捷運及相關設施,道路及相關設施,港口,水利利用土地總數,河道及溝渠,蓄水設施,水道沙洲灘地,水利構造物,防汛道路,海面,建築利用土地總數,商業,純住宅,混合使用住宅,製造業,倉儲,宗教,殯葬設施,其他建築用地,公共利用土地總數,政府機關,學校,醫療保健,社會福利設施,公用設備,環保設施,遊憩利用土地總數,文化設施,公園綠地廣場,休閒設施,鹽礦利用土地總數,礦業及相關設施,土石及相關設施,鹽業及相關設施,其他利用土地總數,溼地,草生地,裸露地,營建剩餘土石收容處理相關設施,空置地,資料時間
A1001-02,A1001-02-001,A1001-0001-00,260651.348,85780.774,84157.047,,,1623.727,22542.952,,22436.987,105.965,,,,,8999.111,,,,,8999.111,,45377.07,25614.914,,,13375.592,6386.564,,127.885,,,,,127.885,,,,,,,,,,,,,,,,,,,97823.556,,85870.156,,,11953.4,"111Y"
A1001-01,A1001-01-001,A1001-0002-00,1970497.107,1538273.453,1507189.885,,1774.657,29308.911,113823.095,,96665.309,17157.786,,,,,55419.517,,,,,55419.517,,79832.651,76576.185,3256.466,,,,,42940.205,316.372,14702.86,924.498,5423.057,16983.19,2394.249,1333.916,862.063,,,,,,,,985.574,,985.574,,,,,,139222.612,,128098.221,,,11124.391,"111Y"
A1001-03,A1001-03-001,A1001-0003-00,690914.642,215390.322,198641.52,,12452.934,4295.868,84027.94,,83669.748,358.192,,,,,33182.025,,,,,33182.025,,28646.899,12160.688,1127.367,,7393.997,7964.847,,259601.166,18417.267,536.758,,231883.44,8721.561,,23.286,18.854,22232.583,3792.71,,,,6903.465,11536.408,,,,,,,,,47833.707,,18820.358,,,29013.349,"111Y"
A1001-01,A1001-01-001,A1001-0004-00,136856.065,107727.081,107727.081,,,,5584.836,,5277.485,307.351,,,,,21313.563,,,,,21313.563,,,,,,,,,2230.585,,,,,2230.585,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-03,A1001-03-001,A1001-0005-00,178943.036,,,,,,,,,,,,,,13519.396,,,,,13519.396,,838.166,838.166,,,,,,164585.474,19128.015,,,145457.459,,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-01,A1001-01-002,A1001-0006-00,525969.9,342943.844,341223.242,,226.227,1494.375,40233.243,,39538.642,694.601,,,,,16876.377,,,,,16876.377,,48253.547,30528.846,73.838,,10797.359,6853.504,,21176.196,193.824,12708.769,260.559,,921.928,673.132,123.757,6294.227,,,,,,,,,,,,,,,,56486.693,,52132.454,,,4354.239,"111Y"
A1001-05,A1001-05-001,A1001-0007-00,191967.5,47389.419,47243.629,,145.79,,51785.845,,50115.613,1670.232,,,,,3379.253,,,794.298,,2584.955,,29704.599,18014.678,,114.178,8189.314,3386.429,,7865.41,,6156.433,,,912.197,720.464,,76.316,,,,,,,,,,,,,,,,51842.974,,45346.297,,,6496.677,"111Y"
A1001-05,A1001-05-001,A1001-0008-00,100738.84,22301.366,22210.239,,91.127,,33683.93,,32490.848,1193.082,,,,,3727.72,,,,,3727.72,,23591.174,8149.322,,,8082.538,7359.314,,3246.824,,1703.644,,,1260.231,119.436,,163.513,,,,,,,,,,,,,,,,14187.826,,12432.309,,,1755.517,"111Y"
A1001-03,A1001-03-001,A1001-0009-00,181053.414,34816.088,34797.662,,,18.426,,,,,,,,,15892.847,,,,,15892.847,,2057.157,2057.157,,,,,,121738.475,,321.681,,121248.796,167.998,,,,2130.56,,,,,2130.56,,,,,,,,,,4418.287,,,,,4418.287,"111Y"
A1001-03,A1001-03-002,A1001-0010-00,106976.138,33964.077,33964.077,,,,,,,,,,,,4854.954,,,,,4854.954,,,,,,,,,68157.107,,,,55970.551,12186.556,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-02,A1001-02-002,A1001-0011-00,365944.833,193371.22,185318.79,,4963.183,3089.247,56193.602,,50236.783,5956.819,,,,,10878.068,,,,,10878.068,,27238.631,13863.364,6234.584,,4987.034,2153.649,,29063.407,,15164.793,273.578,,10391.371,1841.296,845.809,546.56,345.133,,,,345.133,,,619.613,,619.613,,,,,,48235.159,,27285.208,,,20949.951,"111Y"
A1001-05,A1001-05-002,A1001-0012-00,171513.118,112703.543,110534.602,,957.623,1211.318,12393.371,,11658.661,734.71,,,,,14405.149,,,25.832,,14379.317,,12634.113,2317.462,,,6840.308,3476.343,,15063.796,,12551.202,,,2047.063,465.531,,,,,,,,,,,,,,,,,,4313.146,,4.576,,,4308.57,"111Y"
A1001-05,A1001-05-003,A1001-0013-00,156103.402,131488.646,119943.355,,3047.775,8497.516,2756.207,,2756.207,,,,,,6754.508,,,,,6754.508,,2883.287,2479.803,145.624,,,257.86,,10921.777,,,,2766.399,1694.901,107.334,6353.143,,,,,,,,,,,,,,,,,1298.977,,,,,1298.977,"111Y"
A1001-05,A1001-05-002,A1001-0014-00,23870.832,13036.436,12666.633,,,369.803,,,,,,,,,3046.458,,,,,3046.458,,1478.603,,1478.603,,,,,5892.015,,3475.944,,594.593,235.07,1425.591,,160.817,129.259,,,,129.259,,,,,,,,,,,288.061,,,,,288.061,"111Y"
A1001-01,A1001-01-001,A1001-0015-00,158522.445,137099.743,136847.717,,75.594,176.432,228.591,,,228.591,,,,,5098.764,,,,,5098.764,,,,,,,,,14338.146,4548.625,4392.045,,,1381.428,,,4016.048,,,,,,,,,,,,,,,,1757.201,,,,,1757.201,"111Y"
A1001-05,A1001-05-004,A1001-0016-00,108698.662,96941.378,96265.237,,,676.141,,,,,,,,,7888.854,,,1263.445,,6625.409,,1613.589,1613.589,,,,,,590.623,,294.929,,,295.694,,,,,,,,,,,,,,,,,,,1664.218,,,,,1664.218,"111Y"
A1001-02,A1001-02-003,A1001-0017-00,55209.943,2.295,2.295,,,,1109.112,,1109.112,,,,,,13409.7,,,,,13409.7,,27586.022,12391.607,,,11335.137,3859.278,,7389.349,2928.686,1694.566,771.435,,1601.319,343.918,,49.425,2576.17,,,,,2576.17,,1629.139,,1629.139,,,,,,1508.156,,,,,1508.156,"111Y"
A1001-05,A1001-05-004,A1001-0018-00,135125.242,116810.205,96641.887,,,20168.318,,,,,,,,,6126.877,,,1625.808,,4501.069,,4723.981,4723.981,,,,,,6053.384,,3989.868,,,72.285,,1991.231,,,,,,,,,,,,,,,,,1410.795,,,,,1410.795,"111Y"
A1001-05,A1001-05-005,A1001-0019-00,207021.683,167895.154,160963.779,,330.126,6601.249,5156.401,,5156.401,,,,,,16105.008,,,,,16105.008,,5868.052,4953.297,914.755,,,,,8382.091,,3722.73,,4538.658,,,120.703,,,,,,,,,,,,,,,,,3614.977,,,,,3614.977,"111Y"
A1001-01,A1001-01-003,A1001-0020-00,120640.299,53447.728,53447.728,,,,5910.306,,2515.217,3395.089,,,,,28012.065,,,,,28012.065,,1871.156,1430.325,,,440.831,,,27682.654,,,,,2495.035,112.791,24726.897,347.931,,,,,,,,,,,,,,,,3716.39,,,,,3716.39,"111Y"
A1001-06,A1001-06-001,A1001-0021-00,174048.998,127778.041,121272.307,,4037.627,2468.107,,,,,,,,,25658.241,,,6017.978,,19640.263,,2537.208,2537.208,,,,,,18075.508,,,,,,106.831,17968.677,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-03,A1001-03-003,A1001-0022-00,191211.62,133724.852,130747.315,,,2977.537,,,,,,,,,20324.992,,,,,20324.992,,3012.857,3012.857,,,,,,24834.067,43.511,13299.902,466.18,5285.637,5738.837,,,,1564.593,,,,,,1564.593,3747.871,,,3747.871,,,,,4002.388,,,,,4002.388,"111Y"
A1001-03,A1001-03-004,A1001-0023-00,117500.762,75288.92,74868.188,,,420.732,104.246,,104.246,,,,,,12657.582,,,,,12657.582,,4637.188,1638.418,2998.77,,,,,24097.693,358.448,18909.767,171.995,3555.489,1101.994,,,,,,,,,,,,,,,,,,,715.133,,,,,715.133,"111Y"
A1001-04,A1001-04-001,A1001-0024-00,189614.51,156995.764,153077.896,,,3917.868,171.004,,164.002,7.002,,,,,6698.574,,,,,6698.574,,400.921,400.921,,,,,,23953.009,,21347.339,1042.262,,1342.527,41.801,,179.08,,,,,,,,,,,,,,,,1395.238,,,,,1395.238,"111Y"
A1001-01,A1001-01-004,A1001-0025-00,181984.162,145500.589,144459.033,,,1041.556,14362.327,,10312.249,4050.078,,,,,13724.059,,,,,13724.059,,7168.756,7168.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228.431,,,,,1228.431,"111Y"
A1001-05,A1001-05-006,A1001-0026-00,543005.856,457075.336,446541.831,,5586.106,4947.399,,,,,,,,,27695.881,,,,,27695.881,,11846.085,11846.085,,,,,,40649.496,,,,23712.099,5049.85,4867.899,7019.648,,2832.799,,,,,,2832.799,,,,,,,,,2906.259,,,,,2906.259,"111Y"
A1001-03,A1001-03-005,A1001-0027-00,17066.776,1184.006,1184.006,,,,,,,,,,,,3532.219,,,,,3532.219,,332.928,332.928,,,,,,11987.95,,11022.53,385.761,579.659,,,,,,,,,,,,,,,,,,,,29.673,,,,,29.673,"111Y"
A1001-01,A1001-01-005,A1001-0028-00,37510.513,18160.42,17832.941,,158.527,168.952,,,,,,,,,4013.865,,,,,4013.865,,,,,,,,,11714.412,,7306.388,169.343,,1107.349,1728.182,,1403.15,,,,,,,,,,,,,,,,3621.816,,,,,3621.816,"111Y"
A1001-01,A1001-01-005,A1001-0029-00,76200.34,53368.683,52273.102,,,1095.581,,,,,,,,,4895.124,,,,,4895.124,,2001.001,,2001.001,,,,,7493.338,,6127.303,1133.022,0.687,223.195,9.131,,,,,,,,,,,,,,,,,,8442.194,,,,,8442.194,"111Y"
A1001-03,A1001-03-006,A1001-0030-00,55448.786,6997.447,6921.515,,75.932,,,,,,,,,,9736.145,,,,,9736.145,,934.649,934.649,,,,,,32629.861,2250.291,7507.481,1552.539,,1436.351,,,19883.199,,,,,,,,2150.804,122.001,,2028.803,,,,,2999.88,,,,,2999.88,"111Y"
A1001-02,A1001-02-004,A1001-0031-00,35125.482,2806.98,2806.98,,,,,,,,,,,,3886.238,,,,,3886.238,,,,,,,,,17817.633,,15377.701,1401.888,,731.21,,,306.834,,,,,,,,,,,,,,,,10614.631,,,,,10614.631,"111Y"
A1001-04,A1001-04-002,A1001-0032-00,52570.234,20561.663,20536.423,,,25.24,354.059,,354.059,,,,,,8755.857,,,,,8755.857,,,,,,,,,17784.001,967.321,11768.41,199.057,571.222,2169.73,,,2108.261,231.374,,231.374,,,,,,,,,,,,,4883.28,,,,,4883.28,"111Y"
A1001-01,A1001-01-006,A1001-0033-00,21590.674,3859.674,3859.674,,,,,,,,,,,,4834.896,,,,,4834.896,,522.402,,522.402,,,,,12373.596,,10747.188,644.799,,620.958,360.651,,,,,,,,,,,,,,,,,,0.106,,,,,0.106,"111Y"
A1001-01,A1001-01-007,A1001-0034-00,24525.55,4961.154,4558.365,,402.789,,,,,,,,,,6099.666,,,,,6099.666,,,,,,,,,12884.102,85.022,10922.128,451.559,307.413,865.997,58.493,,193.49,,,,,,,,,,,,,,,,580.628,,,,,580.628,"111Y"
A1001-01,A1001-01-001,A1001-0035-00,189176.829,165426.575,163978.063,,435.03,1013.482,1511.229,,1511.229,,,,,,5950.525,,,,,5950.525,,1294.615,1124.243,170.372,,,,,13916.891,,6009.932,2537.411,1854.877,865.618,1196.495,1133.193,319.365,,,,,,,,,,,,,,,,1076.994,,,,,1076.994,"111Y"
A1001-04,A1001-04-003,A1001-0036-00,22156.487,,,,,,119.165,,119.165,,,,,,3280.403,,,,,3280.403,,,,,,,,,162.25,62.138,100.112,,,,,,,18067.996,,18067.996,,,,,,,,,,,,,526.673,,,,,526.673,"111Y"
A1001-02,A1001-02-005,A1001-0037-00,45168.807,5214.052,5168.7,,,45.352,1321.131,,1321.131,,,,,,5271.442,,,,,5271.442,,219.192,219.192,,,,,,29145.128,738.329,17214.38,334.085,852.915,7209.591,116.858,,2678.97,,,,,,,,,,,,,,,,3997.862,,,,,3997.862,"111Y"
A1001-06,A1001-06-002,A1001-0038-00,180306.148,155216.206,147206.761,,,8009.445,,,,,,,,,21074.406,,,3876.981,,17197.425,,3730.235,3730.235,,,,,,228.362,,,,,,,228.362,,,,,,,,,,,,,,,,,56.939,,,,,56.939,"111Y"
A1001-05,A1001-05-007,A1001-0039-00,16189.524,179.278,179.278,,,,,,,,,,,,4585.961,,,,,4585.961,,1938.13,352.535,96.181,,1489.414,,,8917.283,,8517.128,400.155,,,,,,,,,,,,,,,,,,,,,568.872,,,,,568.872,"111Y"
A1001-05,A1001-05-008,A1001-0040-00,142802.024,103207.146,102865.353,,,341.793,3904.233,,2680.765,1223.468,,,,,6376.375,,,,,6376.375,,15445.002,6625.903,,,6364.526,2454.573,,1528.052,,1257.106,,,,151.213,119.733,,,,,,,,,,,,,,,,,12341.216,,,,,12341.216,"111Y"
A1001-05,A1001-05-008,A1001-0041-00,119525.113,104199.325,98879.06,,134.086,5186.179,2007.391,,2007.391,,,,,,9978.04,,,,,9978.04,,1698.686,1698.686,,,,,,,,,,,,,,,,,,,,,,1555,,1555,,,,,,86.671,,,,,86.671,"111Y"
A1001-02,A1001-02-006,A1001-0042-00,19035.882,462.454,462.454,,,,,,,,,,,,4588.935,,,,,4588.935,,,,,,,,,12832.485,2120.236,6466.4,3189.752,,551.676,,,504.421,,,,,,,,,,,,,,,,1152.008,,,,,1152.008,"111Y"
A1001-03,A1001-03-007,A1001-0043-00,41908.319,5030.702,4477.781,,,552.921,,,,,,,,,8864.527,,,,,8864.527,,157.639,157.639,,,,,,26427.953,101.671,21867.225,1185.507,592.42,1806.339,82.303,,792.488,,,,,,,,,,,,,,,,1427.498,,,,,1427.498,"111Y"
A1001-03,A1001-03-008,A1001-0044-00,76470.909,24949.892,24456.676,,299.642,193.574,340.947,,340.947,,,,,,10553.774,,,,,10553.774,,1726.582,1000.44,726.142,,,,,30956.926,13231.889,14011.319,705.913,,1417.852,,,1589.953,1303.219,1303.219,,,,,,223.506,,208.54,14.966,,,,,6416.063,,,,,6416.063,"111Y"
A1001-01,A1001-01-008,A1001-0045-00,12905.015,261.081,261.081,,,,,,,,,,,,1183.736,,,,,1183.736,,,,,,,,,11070.073,,10294.804,168.249,,353.86,,,253.16,,,,,,,,,,,,,,,,390.125,,,,,390.125,"111Y"
A1001-04,A1001-04-004,A1001-0046-00,21186.425,2193.495,2193.495,,,,,,,,,,,,3204.448,,,,,3204.448,,,,,,,,,15304.251,989.366,11051.096,2206.249,,937.866,,,119.674,,,,,,,,,,,,,,,,484.231,,,,,484.231,"111Y"
A1001-06,A1001-06-005,A1001-0047-00,126756.682,105001.149,98356.336,,1628.49,5016.323,,,,,,,,,9221.534,,,,,9221.534,,4654.781,4654.781,,,,,,7879.218,,6848.672,,,970.523,,60.023,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-03,A1001-03-006,A1001-0048-00,50166.482,18121.452,11549.697,,46.615,6525.14,67.538,,67.538,,,,,,6745.389,,,,,6745.389,,732.781,732.781,,,,,,19173.681,1109.491,8364.686,885.915,214.189,580.624,,,8018.776,4397.806,,2290.128,,2107.678,,,,,,,,,,,927.835,,,,,927.835,"111Y"
A1001-05,A1001-05-009,A1001-0049-00,21096.287,,,,,,,,,,,,,,5014.69,,,,,5014.69,,2051.3,487.538,,,1563.762,,,13507.357,,12921.244,161.494,,424.619,,,,,,,,,,,,,,,,,,,522.94,,,,,522.94,"111Y"
A1001-04,A1001-04-005,A1001-0050-00,17980.339,568.509,568.509,,,,,,,,,,,,2657.61,,,,,2657.61,,,,,,,,,14098.014,1188.776,9586.017,2226.984,,480.592,,,615.645,,,,,,,,,,,,,,,,656.206,,,,,656.206,"111Y"
A1001-01,A1001-01-009,A1001-0051-00,24799.941,438.003,438.003,,,,,,,,,,,,4317.422,,,,,4317.422,,,,,,,,,18844.635,141.016,15035.207,684.707,414.993,1878.205,131.755,,558.752,,,,,,,,,,,,,,,,1199.881,,,,,1199.881,"111Y"
A1001-02,A1001-02-007,A1001-0052-00,37754.411,1001.808,1001.808,,,,,,,,,,,,8949.33,,,,,8949.33,,8393.704,4104.355,,,3775.275,514.074,,13809.504,2486.614,7119.089,2469.018,,1358.001,278.321,,98.461,1017.895,,,,,,1017.895,1481.611,,1481.611,,,,,,3100.559,,651.854,,,2448.705,"111Y"
A1001-04,A1001-04-006,A1001-0053-00,19117.093,1360.603,1360.603,,,,,,,,,,,,4964.038,,,,,4964.038,,,,,,,,,11281.525,1912.692,6402.337,1180.99,,1304.472,,,481.034,103.855,,9.14,94.715,,,,,,,,,,,,1407.072,,,,,1407.072,"111Y"
A1001-04,A1001-04-007,A1001-0054-00,33262.766,5031.217,5023.885,,,7.332,,,,,,,,,5040.738,,,,,5040.738,,,,,,,,,21641.14,663.107,17480.101,1680.21,,1816.956,,,0.766,,,,,,,,,,,,,,,,1549.671,,,,,1549.671,"111Y"
A1001-01,A1001-01-010,A1001-0055-00,25155.639,103.647,103.647,,,,,,,,,,,,3270.479,,,,,3270.479,,,,,,,,,18749.073,300.134,14641.268,371.079,199.895,2135.423,579.704,,521.57,,,,,,,,,,,,,,,,3032.44,,,,,3032.44,"111Y"
A1001-02,A1001-02-008,A1001-0056-00,8195.945,,,,,,,,,,,,,,2301.767,,,,,2301.767,,,,,,,,,5580.854,55.489,4168.443,1319.698,,37.224,,,,,,,,,,,,,,,,,,,313.324,,,,,313.324,"111Y"
A1001-04,A1001-04-008,A1001-0057-00,19174.325,1247.126,1247.126,,,,446.012,,446.012,,,,,,2787.338,,,,,2787.338,,,,,,,,,14357.73,1184.303,10590.061,2248.652,,334.714,,,,23.523,,23.523,,,,,,,,,,,,,312.596,,,,,312.596,"111Y"
A1001-06,A1001-06-003,A1001-0058-00,170283.812,120696.868,119413.418,,295.483,987.967,2306.902,,2306.902,,,,,,12157.678,,,,,12157.678,,4580.635,2499.178,2081.457,,,,,24879.416,182.139,15224.147,,897.096,3475.984,1322.643,3085.271,692.136,,,,,,,,,,,,,,,,5662.313,,,,,5662.313,"111Y"
A1001-04,A1001-04-009,A1001-0059-00,19140.086,541.128,368.553,,172.575,,,,,,,,,,3915.156,,,,,3915.156,,,,,,,,,14602.953,1019.563,4679.891,7076.452,995.542,831.505,,,,,,,,,,,,,,,,,,,80.849,,,,,80.849,"111Y"
A1001-05,A1001-05-013,A1001-0060-00,253246.707,202486.108,189203.03,,,13283.078,8763.976,,8763.976,,,,,,8873.923,,,,,8873.923,,2721.574,1212.154,1509.42,,,,,10097.671,,1130.669,,4136.537,3838.279,0.493,991.693,,,,,,,,,,,,,,,,,20303.455,,,,,20303.455,"111Y"
A1001-05,A1001-05-010,A1001-0061-00,225091.668,104615.418,104614.518,,,0.9,6265.748,,6265.748,,,,,,19520.523,,,,,19520.523,,37048.841,8402.172,14818.167,,8356.867,5471.635,,20452.404,,19502.026,692.534,,78.916,178.928,,,1399.799,,1031.436,,332.762,,35.601,8433.8,,6143.152,2290.648,,,,,27355.135,,,,,27355.135,"111Y"
A1001-02,A1001-02-009,A1001-0062-00,36165.919,424.642,424.642,,,,,,,,,,,,8896.794,,,,,8896.794,,,,,,,,,23480.444,3525.962,12066.96,4578.799,100.714,1476.767,15.76,,1715.482,,,,,,,,,,,,,,,,3364.039,,,,,3364.039,"111Y"
A1001-03,A1001-03-009,A1001-0063-00,44471.719,2838.606,2757.842,,,80.764,,,,,,,,,8335.583,,,,,8335.583,,,,,,,,,27674.906,39.578,22945.165,1328.764,604.618,1503.91,741.793,,511.078,2378.734,1974.137,,,404.597,,,,,,,,,,,3243.89,,,,,3243.89,"111Y"
A1001-01,A1001-01-011,A1001-0064-00,30907.866,560.574,453.225,,,107.349,,,,,,,,,4797.245,,,,,4797.245,,,,,,,,,23886.451,,20434.059,875.554,259.541,1060.418,933.458,,323.421,,,,,,,,,,,,,,,,1663.596,,,,,1663.596,"111Y"
A1001-04,A1001-04-010,A1001-0065-00,26814.155,,,,,,,,,,,,,,3625.267,,,,,3625.267,,,,,,,,,23010.697,6751.53,9402.218,2736.517,,3921.503,,,198.929,,,,,,,,56.582,,,56.582,,,,,121.609,,,,,121.609,"111Y"
A1001-05,A1001-05-014,A1001-0066-00,34647.498,22473.769,22473.769,,,,,,,,,,,,7650.109,,,,,7650.109,,2852.95,1259.633,,,1593.317,,,971.166,,,,,234.002,131.925,605.239,,216.264,,,,,,216.264,,,,,,,,,483.24,,,,,483.24,"111Y"
A1001-03,A1001-03-010,A1001-0067-00,56852.72,17026.108,16951.673,,17.57,56.865,,,,,,,,,9417.942,,,,,9417.942,,,,,,,,,23778.426,2008.886,18717.984,2288.607,,762.949,,,,,,,,,,,,,,,,,,,6630.244,,,,,6630.244,"111Y"
A1001-01,A1001-01-012,A1001-0068-00,26870.24,588.782,555.749,,33.033,,,,,,,,,,4855.778,,,,,4855.778,,,,,,,,,18636.743,25.606,14825.01,623.972,,787.116,940.319,,1434.72,449.803,,,,449.803,,,269.55,,269.55,,,,,,2069.584,,,,,2069.584,"111Y"
A1001-05,A1001-05-011,A1001-0069-00,274230.038,212098.893,199997.491,4135.078,,7966.324,,,,,,,,,19877.765,,,,,19877.765,,5925.898,5925.898,,,,,,32034.051,61.49,22692.444,128.742,4582.165,2958.893,941.384,,668.933,32.904,,,,,,32.904,1592.942,,1360.173,232.769,,,,,2667.585,,,,,2667.585,"111Y"
A1001-07,A1001-07-002,A1001-0070-00,11381.449,,,,,,,,,,,,,,2569.456,,,,,2569.456,,,,,,,,,5304.245,500.632,2728.747,1114.275,127.743,820.811,12.037,,,1361.615,,1361.615,,,,,2064.287,,,2064.287,,,,,81.846,,,,,81.846,"111Y"
A1001-06,A1001-06-003,A1001-0071-00,173028.493,117523.91,115247.945,,,2275.965,4881.565,,4312.554,569.011,,,,,14278.461,,,1661.7,,12616.761,,4251.445,374.218,3877.227,,,,,25800.993,,15680.581,221.286,,4534.898,322.015,3392.864,1649.349,,,,,,,,,,,,,,,,6292.119,,,,,6292.119,"111Y"
A1001-05,A1001-05-012,A1001-0072-00,13134.83,260.121,260.121,,,,,,,,,,,,4047.523,,,,,4047.523,,,,,,,,,8159.036,,2510.994,5413.883,,234.159,,,,,,,,,,,147.085,,147.085,,,,,,521.065,,,,,521.065,"111Y"
A1001-02,A1001-02-010,A1001-0073-00,30941.096,3282.788,3282.788,,,,,,,,,,,,6191.606,,,,,6191.606,,2953.003,1317.571,,,210.309,1425.123,,15686.097,,12081.58,501.176,,21.695,,,3081.646,,,,,,,,,,,,,,,,2827.602,,,,,2827.602,"111Y"
A1001-04,A1001-04-011,A1001-0074-00,67797.949,10760.324,10722.639,,37.685,,347.346,,347.346,,,,,,13216.824,,,,,13216.824,,,,,,,,,33795.155,9499.974,10251.726,5618.053,3279.889,820.482,29.15,,4295.881,,,,,,,,669.041,,,669.041,,,,,9009.259,,,,,9009.259,"111Y"
A1001-07,A1001-07-001,A1001-0075-00,46156.539,1704.032,1662.371,,,41.661,,,,,,,,,5774.416,,,,,5774.416,,,,,,,,,16150.53,370.652,10585.26,1928.922,239.981,2937.191,,,88.524,21806.716,,21806.716,,,,,2.318,,2.318,,,,,,718.527,,,,,718.527,"111Y"
A1001-03,A1001-03-011,A1001-0076-00,9627.036,1387.953,1387.953,,,,,,,,,,,,2014.111,,,,,2014.111,,,,,,,,,3802.421,84.8,2677.423,296.693,,743.505,,,,,,,,,,,,,,,,,,,2422.551,,,,,2422.551,"111Y"
A1001-02,A1001-02-011,A1001-0077-00,123245.8,2346.753,2166.907,,179.846,,14916.109,,13791.073,1125.036,,,,,22485.76,,,,,22485.76,,21755.434,8904.139,,,12631.48,219.815,,51199.657,22063.173,1749.17,889.489,8655.303,6060.209,151.525,11630.788,,1821.937,,,,,1821.937,,,,,,,,,,8720.15,,123.087,,,8597.063,"111Y"
A1001-07,A1001-07-002,A1001-0078-00,15213.935,575.142,76.317,,,498.825,,,,,,,,,3753.157,,,,,3753.157,,,,,,,,,10629.748,1988.293,5156.13,1991.809,343.417,576.494,,,573.605,,,,,,,,49.52,,,49.52,,,,,206.368,,,,,206.368,"111Y"
A1001-06,A1001-06-005,A1001-0079-00,139118.52,122282.144,122282.144,,,,,,,,,,,,6472.575,,,183.71,,6288.865,,6051.353,6051.353,,,,,,4190.555,,2758.039,,1038.249,394.267,,,,,,,,,,,,,,,,,,,121.893,,,,,121.893,"111Y"
A1001-07,A1001-07-003,A1001-0080-00,100180.512,18737.006,18651.596,,,85.41,1122.171,,1122.171,,,,,,17609.88,,,,,17609.88,,163.562,145.986,17.576,,,,,33155.551,2692.162,9808.518,1094.885,8732.585,5946.163,4562.015,,319.223,1261.471,,,292.555,968.916,,,25454.941,,24827.093,627.848,,,,,2675.93,,,,,2675.93,"111Y"
A1001-07,A1001-07-002,A1001-0081-00,8104.483,,,,,,,,,,,,,,2901.23,,,,,2901.23,,,,,,,,,4227.493,373.872,3039.566,328.517,,380.098,,,105.44,937.246,937.246,,,,,,,,,,,,,,38.514,,,,,38.514,"111Y"
A1001-06,A1001-06-004,A1001-0082-00,205366.258,130962.775,125507.422,,2338.706,3116.647,1510.264,,1510.264,,,,,,20915.539,,,,,20915.539,,4455.756,1037.54,3418.216,,,,,40479.452,155.016,28775.987,,4099.503,1590.847,258.732,98.512,5500.855,255.404,,,,255.404,,,,,,,,,,,6787.068,,,,,6787.068,"111Y"
A1001-03,A1001-03-012,A1001-0083-00,51447.05,12833.55,12578.471,,184.396,70.683,,,,,,,,,9667.558,,,,,9667.558,,381.249,381.249,,,,,,24397.888,912.96,15576.494,2007.991,,838.069,,,5062.374,68.898,,,,68.898,,,,,,,,,,,4097.907,,,,,4097.907,"111Y"
A1001-06,A1001-06-005,A1001-0084-00,184038.187,141080.761,137958.287,,385.166,2737.308,3370.269,,3370.269,,,,,,8075.524,,,,,8075.524,,13350.209,13350.209,,,,,,5164.355,,1597.51,,2914.275,,455.167,197.403,,,,,,,,,,,,,,,,,12997.069,,,,,12997.069,"111Y"
A1001-02,A1001-02-012,A1001-0085-00,40014.346,19204.194,19204.194,,,,,,,,,,,,4776.221,,,,,4776.221,,2002.304,1173.963,,,,828.341,,13932.297,,13505.451,145.762,,100.607,,,180.477,,,,,,,,,,,,,,,,99.33,,,,,99.33,"111Y"
A1001-03,A1001-03-011,A1001-0086-00,17937.574,4621.722,4621.722,,,,,,,,,,,,3614.478,,,,,3614.478,,,,,,,,,9701.374,2430.625,7096.796,173.953,,,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-03,A1001-03-013,A1001-0087-00,28204.76,3755.773,3702.92,,,52.853,,,,,,,,,8428.6,,,,,8428.6,,,,,,,,,13543.579,,12974.31,569.269,,,,,,,,,,,,,,,,,,,,,2476.808,,,,,2476.808,"111Y"
A1001-07,A1001-07-004,A1001-0088-00,74925.075,,,,,,,,,,,,,,4964.303,,,,,4964.303,,,,,,,,,69960.772,2071.567,88.411,,64593.935,2838.344,,,368.515,,,,,,,,,,,,,,,,,,,,,,"111Y"
