CODE2,CODE1,CODEBASE,AREA_SUM,L01_SUM,L0101,L0102,L0103,L0104,L02_SUM,L0201,L0202,L0203,L0204,L0205,L0206,L0207,L03_SUM,L0301,L0302,L0303,L0304,L0305,L0306,L04_SUM,L0401,L0402,L0403,L0404,L0405,L0406,L05_SUM,L0501,L0502,L0503,L0504,L0505,L0506,L0507,L0508,L06_SUM,L0601,L0602,L0603,L0604,L0605,L0606,L07_SUM,L0701,L0702,L0703,L08_SUM,L0801,L0802,L0803,L09_SUM,L0901,L0902,L0903,L0904,L0905,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,土地面積總數,農業利用土地總數,農作使用,水產養殖,畜牧,農業相關設施,森林利用土地總數,針葉林,闊葉林,竹林,混淆林,灌木林,待成林地,其他森林利用土地,交通利用土地總數,機場,一般鐵路及相關設施,高速鐵路及相關設施,捷運及相關設施,道路及相關設施,港口,水利利用土地總數,河道及溝渠,蓄水設施,水道沙洲灘地,水利構造物,防汛道路,海面,建築利用土地總數,商業,純住宅,混合使用住宅,製造業,倉儲,宗教,殯葬設施,其他建築用地,公共利用土地總數,政府機關,學校,醫療保健,社會福利設施,公用設備,環保設施,遊憩利用土地總數,文化設施,公園綠地廣場,休閒設施,鹽礦利用土地總數,礦業及相關設施,土石及相關設施,鹽業及相關設施,其他利用土地總數,溼地,草生地,裸露地,營建剩餘土石收容處理相關設施,空置地,資料時間
A1007-11,A1007-11-012,A1007-0402-00,156707.989,140412.717,113056.218,,6546.527,20809.972,,,,,,,,,10411.263,,,,,10411.263,,2651.519,2651.519,,,,,,1632.556,,1564.865,,,,,67.691,,,,,,,,,,,,,,,,,1599.934,,,,,1599.934,"111Y"
A1007-08,A1007-08-023,A1007-0403-00,20970.405,2400.893,2400.893,,,,,,,,,,,,3615.56,,,,,3615.56,,,,,,,,,14953.952,55.359,14520.822,,,105.852,271.919,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1007-08,A1007-08-024,A1007-0404-00,43746.387,2502.434,2447.599,,,54.835,642.735,,642.735,,,,,,5398.808,,,,,5398.808,,,,,,,,,29341.061,33.493,27433.417,,,1246.311,98.109,,529.731,572.944,,144.655,,428.289,,,,,,,,,,,5288.405,,,,,5288.405,"111Y"
A1007-11,A1007-11-013,A1007-0405-00,367625.753,161281.755,134230.76,130.271,,26920.724,59496.262,,59496.262,,,,,,19775.03,,,,,19775.03,,57857.197,31564.198,,,18663.895,7629.104,,11516.925,3289.681,590.513,,3945.467,3418.119,,273.145,,41.858,,,,,41.858,,,,,,,,,,57656.726,,54070.19,,,3586.536,"111Y"
A1007-10,A1007-10-027,A1007-0406-00,121432.563,,,,,,,,,,,,,,0.003,,,,,0.003,,1245.025,,,,,1245.025,,120187.535,,,,120187.535,,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1007-10,A1007-10-028,A1007-0407-00,242700.129,104803.15,100378.342,,,4424.808,6567.288,,5130.98,1436.308,,,,,14875.955,,,,,14875.955,,46997.457,18124.566,,,19525.34,9347.551,,4639.329,,,,,4288.092,,,351.237,,,,,,,,,,,,,,,,64816.95,,56614.783,,,8202.167,"111Y"
A1007-11,A1007-11-012,A1007-0408-00,156108.685,146986.098,137832.607,,3103.061,6050.43,,,,,,,,,2293.996,,,,,2293.996,,4381.662,4381.662,,,,,,964.439,93.519,348.896,,,522.024,,,,,,,,,,,,,,,,,,,1482.49,,,,,1482.49,"111Y"
A1007-08,A1007-08-024,A1007-0409-00,26077.215,10133.411,10030.509,,102.902,,,,,,,,,,5104.691,,,,,5104.691,,194.693,,,,,194.693,,4889.113,197.33,1988.171,,,722.607,1942.58,,38.425,,,,,,,,,,,,,,,,5755.307,,,,,5755.307,"111Y"
A1007-11,A1007-11-014,A1007-0410-00,65398.192,27146.427,27146.427,,,,4339.121,,4339.121,,,,,,7677.187,,,,,7677.187,,10.492,,,,10.492,,,22294.775,75.014,15011.413,324.453,33.554,5838.202,,,1012.139,1974.649,1974.649,,,,,,,,,,,,,,1955.541,,,,,1955.541,"111Y"
A1007-11,A1007-11-016,A1007-0411-00,232719.277,169897.245,160506.642,,45.667,9344.936,802.399,,802.399,,,,,,29463.423,,,2634.229,,26829.194,,5129.929,5129.929,,,,,,19574.169,1865.718,13703.364,,,2273.439,1731.648,,,,,,,,,,265.232,,265.232,,,,,,7586.88,,,,,7586.88,"111Y"
