"LineID","LineName","LineSectionName","Sequence","StationID","StationName","TraveledDistance"
"WL","西部幹線","基隆-屏東","53","3290","精武","191.2"
"WL","西部幹線","基隆-屏東","54","3300","臺中","193.3"
"WL","西部幹線","基隆-屏東","55","3310","五權","195.3"
"WL","西部幹線","基隆-屏東","56","3320","大慶","197.5"
"WL","西部幹線","基隆-屏東","57","3330","烏日","200.5"
"WL","西部幹線","基隆-屏東","58","3340","新烏日","201.3"
"WL","西部幹線","基隆-屏東","59","3350","成功","203.8"
"WL","西部幹線","基隆-屏東","61","3360","彰化","210.9"
"WL","西部幹線","基隆-屏東","62","3370","花壇","217.5"
"WL","西部幹線","基隆-屏東","63","3380","大村","222.1"
"WL","西部幹線","基隆-屏東","64","3390","員林","225.6"
"WL","西部幹線","基隆-屏東","65","3400","永靖","229.1"
"WL","西部幹線","基隆-屏東","66","3410","社頭","232.8"
"WL","西部幹線","基隆-屏東","67","3420","田中","237.1"
"WL","西部幹線","基隆-屏東","68","3430","二水","242.9"
"WL","西部幹線","基隆-屏東","69","3450","林內","251"
"WL","西部幹線","基隆-屏東","70","3460","石榴","255.8"
"WL","西部幹線","基隆-屏東","71","3470","斗六","260.6"
"WL","西部幹線","基隆-屏東","72","3480","斗南","268.2"
"WL","西部幹線","基隆-屏東","73","3490","石龜","272.1"
"WL","西部幹線","基隆-屏東","74","4050","大林","276.7"
"WL","西部幹線","基隆-屏東","75","4060","民雄","282.5"
"WL","西部幹線","基隆-屏東","76","4070","嘉北","289.2"
"WL","西部幹線","基隆-屏東","77","4080","嘉義","291.8"
"WL","西部幹線","基隆-屏東","78","4090","水上","298.4"
"WL","西部幹線","基隆-屏東","79","4100","南靖","301"
"WL","西部幹線","基隆-屏東","80","4110","後壁","307"
"WL","西部幹線","基隆-屏東","81","4120","新營","314.7"
"WL","西部幹線","基隆-屏東","82","4130","柳營","318"
"WL","西部幹線","基隆-屏東","83","4140","林鳳營","321.9"
"WL","西部幹線","基隆-屏東","84","4150","隆田","327.4"
"WL","西部幹線","基隆-屏東","85","4160","拔林","329.6"
"WL","西部幹線","基隆-屏東","86","4170","善化","334.2"
"WL","西部幹線","基隆-屏東","87","4180","南科","337.1"
"WL","西部幹線","基隆-屏東","88","4190","新市","341.8"
"WL","西部幹線","基隆-屏東","89","4200","永康","346.8"
"WL","西部幹線","基隆-屏東","90","4210","大橋","350.5"
"WL","西部幹線","基隆-屏東","91","4220","臺南","353.2"
"WL","西部幹線","基隆-屏東","94","4250","保安","360.8"
"WL","西部幹線","基隆-屏東","95","4260","仁德","362.2"
"WL","西部幹線","基隆-屏東","96","4270","中洲","364.8"
"WL","西部幹線","基隆-屏東","97","4290","大湖","367.7"
"WL","西部幹線","基隆-屏東","98","4300","路竹","370.6"
"WL","西部幹線","基隆-屏東","99","4310","岡山","378.4"
"WL","西部幹線","基隆-屏東","100","4320","橋頭","382"
"WL","西部幹線","基隆-屏東","101","4330","楠梓","386.2"
"WL","西部幹線","基隆-屏東","102","4340","新左營","391.3"
"WL","西部幹線","基隆-屏東","103","4350","左營","393.2"
"WL","西部幹線","基隆-屏東","104","4360","內惟","394.4"
"WL","西部幹線","基隆-屏東","105","4370","美術館","396.1"
"WL","西部幹線","基隆-屏東","106","4380","鼓山","397.3"
"WL","西部幹線","基隆-屏東","107","4390","三塊厝","399"
"WL","西部幹線","基隆-屏東","108","4400","高雄","399.8"
"WL","西部幹線","基隆-屏東","109","4410","民族","401.2"
"WL","西部幹線","基隆-屏東","110","4420","科工館","402.2"
"WL","西部幹線","基隆-屏東","111","4430","正義","404"
"WL","西部幹線","基隆-屏東","112","4440","鳳山","405.6"
"WL","西部幹線","基隆-屏東","113","4450","後庄","409.3"
"WL","西部幹線","基隆-屏東","114","4460","九曲堂","413.6"
"WL","西部幹線","基隆-屏東","115","4470","六塊厝","418.6"
"WL","西部幹線","基隆-屏東","116","5000","屏東","420.8"
