"Mode","API","Attribute","type","title","description","format"
"Bus","BusA1Data","PlateNumb","string","String","車牌號碼",NA
"Bus","BusA1Data","OperatorID","string","String","營運業者代碼",NA
"Bus","BusA1Data","OperatorNo","string","String","營運業者編號[交通部票證資料系統定義]",NA
"Bus","BusA1Data","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA1Data","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusA1Data","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusA1Data","SubRouteUID","string","String","子路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA1Data","SubRouteID","string","String","地區既用中之子路線代碼(為原資料內碼)",NA
"Bus","BusA1Data","SubRouteName",NA,"NameType","子路線名稱",NA
"Bus","BusA1Data","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusA1Data","BusPosition",NA,"PointType","車輛位置經度",NA
"Bus","BusA1Data","Speed","number",NA,"行駛速度(kph)","double"
"Bus","BusA1Data","Azimuth","number",NA,"方位角","double"
"Bus","BusA1Data","DutyStatus","integer","Int32","勤務狀態 : [0:'正常',1:'開始',2:'結束']",NA
"Bus","BusA1Data","BusStatus","integer","Int32","行車狀況 : [0:'正常',1:'車禍',2:'故障',3:'塞車',4:'緊急求援',5:'加油',90:'不明',91:'去回不明',98:'偏移路線',99:'非營運狀態',100:'客滿',101:'包車出租',255:'未知']",NA
"Bus","BusA1Data","MessageType","integer","Int32","資料型態種類 : [0:'未知',1:'定期',2:'非定期']",NA
"Bus","BusA1Data","GPSTime","string","DateTime","車機時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusA1Data","TransTime","string",NA,"車機資料傳輸時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[多數單位沒有提供此欄位資訊]","date-time"
"Bus","BusA1Data","SrcRecTime","string",NA,"來源端平台接收時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusA1Data","SrcTransTime","string",NA,"來源端平台資料傳出時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故有提供此欄位, 而非公總系統因使用整包資料更新, 故沒有提供此欄位]","date-time"
"Bus","BusA1Data","SrcUpdateTime","string",NA,"來源端平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故沒有提供此欄位, 而非公總系統因提供整包資料更新, 故有提供此欄]","date-time"
"Bus","BusA1Data","UpdateTime","string","DateTime","本平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","NameType","Zh_tw","string","String","中文繁體名稱",NA
"Bus","NameType","En","string","String","英文名稱",NA
"Bus","PointType","PositionLon","number",NA,"位置經度(WGS84)","double"
"Bus","PointType","PositionLat","number",NA,"位置緯度(WGS84)","double"
"Bus","PointType","GeoHash","string","String","地理空間編碼",NA
"Bus","DisplayHealth","ServiceID","string","String","API服務代碼",NA
"Bus","DisplayHealth","ServiceName","string","String","API服務中文名稱",NA
"Bus","DisplayHealth","Inbound",NA,"Inbound","本平台資料來源轉入狀態",NA
"Bus","DisplayHealth","Outbound",NA,"Outbound","本平台API狀態",NA
"Bus","Inbound","CheckTime","string","DateTime","檢核時間","date-time"
"Bus","Inbound","Status","integer","Int32","檢核結果狀態 : [0:'失敗',1:'成功',2:'資料清洗中']",NA
"Bus","Inbound","Reason","string","String","檢核失敗原因",NA
"Bus","Outbound","CheckTime","string","DateTime","檢核時間","date-time"
"Bus","Outbound","Status","integer","Int32","檢核結果狀態 : [0:'失敗',1:'成功',2:'資料清洗中']",NA
"Bus","Outbound","Reason","string","String","檢核失敗原因",NA
"Bus","BusA2Data","PlateNumb","string","String","車牌號碼",NA
"Bus","BusA2Data","OperatorID","string","String","營運業者代碼",NA
"Bus","BusA2Data","OperatorNo","string","String","營運業者編號[交通部票證資料系統定義]",NA
"Bus","BusA2Data","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA2Data","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusA2Data","RouteName",NA,"NameType","路線名",NA
"Bus","BusA2Data","SubRouteUID","string","String","子路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA2Data","SubRouteID","string","String","地區既用中之子路線代碼(為原資料內碼)",NA
"Bus","BusA2Data","SubRouteName",NA,"NameType","子路線名稱",NA
"Bus","BusA2Data","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusA2Data","StopUID","string","String","站牌唯一識別代碼，規則為 {業管機關簡碼} + {StopID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA2Data","StopID","string","String","地區既用中之站牌代號(為原資料內碼)",NA
"Bus","BusA2Data","StopName",NA,"NameType","站牌名",NA
"Bus","BusA2Data","StopSequence","integer","Int32","路線經過站牌之順序","int32"
"Bus","BusA2Data","MessageType","integer","Int32","資料型態種類 : [0:'未知',1:'定期',2:'非定期']",NA
"Bus","BusA2Data","DutyStatus","integer","Int32","勤務狀態 : [0:'正常',1:'開始',2:'結束']",NA
"Bus","BusA2Data","BusStatus","integer","Int32","行車狀況 : [0:'正常',1:'車禍',2:'故障',3:'塞車',4:'緊急求援',5:'加油',90:'不明',91:'去回不明',98:'偏移路線',99:'非營運狀態',100:'客滿',101:'包車出租',255:'未知']",NA
"Bus","BusA2Data","A2EventType","integer","Int32","進站離站 : [0:'離站',1:'進站']",NA
"Bus","BusA2Data","GPSTime","string","DateTime","車機時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz) [觸發到離站的GPS時間]","date-time"
"Bus","BusA2Data","TransTime","string",NA,"車機資料傳輸時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[多數單位沒有提供此欄位資訊]","date-time"
"Bus","BusA2Data","SrcRecTime","string",NA,"來源端平台接收時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusA2Data","SrcTransTime","string",NA,"來源端平台資料傳出時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故有提供此欄位, 而非公總系統因使用整包資料更新, 故沒有提供此欄位]","date-time"
"Bus","BusA2Data","SrcUpdateTime","string",NA,"來源端平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故沒有提供此欄位, 而非公總系統因提供整包資料更新, 故有提供此欄]","date-time"
"Bus","BusA2Data","UpdateTime","string","DateTime","本平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusN1EstimateTime","PlateNumb","string","String","車牌號碼 [値為値為-1時，表示目前該站位無車輛行駛]",NA
"Bus","BusN1EstimateTime","StopUID","string","String","站牌唯一識別代碼，規則為 {業管機關簡碼} + {StopID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusN1EstimateTime","StopID","string","String","地區既用中之站牌代碼(為原資料內碼)",NA
"Bus","BusN1EstimateTime","StopName",NA,"NameType","站牌名",NA
"Bus","BusN1EstimateTime","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關代碼} + {RouteID}，其中 {業管機關代碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusN1EstimateTime","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusN1EstimateTime","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusN1EstimateTime","SubRouteUID","string","String","子路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusN1EstimateTime","SubRouteID","string","String","地區既用中之子路線代碼(為原資料內碼)",NA
"Bus","BusN1EstimateTime","SubRouteName",NA,"NameType","子路線名稱",NA
"Bus","BusN1EstimateTime","Direction","integer","Int32","去返程(該方向指的是此車牌車輛目前所在路線的去返程方向，非指站站牌所在路線的去返程方向，使用時請加值業者多加注意) : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusN1EstimateTime","EstimateTime","integer",NA,"到站時間預估(秒) [當StopStatus値為2~4或PlateNumb値為-1時，EstimateTime値為null; 當StopStatus値為1時， EstimateTime値多數為null，僅部分路線因有固定發車時間，故EstimateTime有値; 當StopStatus値為0時，EstimateTime有値。]","int32"
"Bus","BusN1EstimateTime","StopCountDown","integer",NA,"車輛距離本站站數","int32"
"Bus","BusN1EstimateTime","CurrentStop","string","String","車輛目前所在站牌代碼",NA
"Bus","BusN1EstimateTime","DestinationStop","string","String","車輛目的站牌代碼",NA
"Bus","BusN1EstimateTime","StopSequence","integer",NA,"路線經過站牌之順序","int32"
"Bus","BusN1EstimateTime","StopStatus","integer","Int32","車輛狀態備註 : [0:'正常',1:'尚未發車',2:'交管不停靠',3:'末班車已過',4:'今日未營運']",NA
"Bus","BusN1EstimateTime","MessageType","integer","Int32","資料型態種類 : [0:'未知',1:'定期',2:'非定期']",NA
"Bus","BusN1EstimateTime","NextBusTime","string",NA,"下一班公車到達時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusN1EstimateTime","IsLastBus","boolean",NA,"是否為末班車",NA
"Bus","BusN1EstimateTime","Estimates","array","Array","到站時間預估
<span class=""emphasis fas fa-pen"" rel=""目前僅桃園市、臺中市、高雄市提供""></span>",NA
"Bus","BusN1EstimateTime","DataTime","string",NA,"系統演算該筆預估到站資料的時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[目前僅公總提供此欄位資訊]","date-time"
"Bus","BusN1EstimateTime","TransTime","string",NA,"車機資料傳輸時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz))[該欄位在N1資料中無意義]","date-time"
"Bus","BusN1EstimateTime","SrcRecTime","string",NA,"來源端平台接收時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz))[該欄位在N1資料中無意義]","date-time"
"Bus","BusN1EstimateTime","SrcTransTime","string",NA,"來源端平台資料傳出時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故有提供此欄位, 而非公總系統因使用整包資料更新, 故沒有提供此欄位]","date-time"
"Bus","BusN1EstimateTime","SrcUpdateTime","string",NA,"來源端平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故沒有提供此欄位, 而非公總系統因提供整包資料更新, 故有提供此欄]","date-time"
"Bus","BusN1EstimateTime","UpdateTime","string","DateTime","本平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","Estimate","PlateNumb","string","String","車輛車牌號碼",NA
"Bus","Estimate","EstimateTime","integer",NA,"車輛之到站時間預估(秒)","int32"
"Bus","Estimate","IsLastBus","boolean",NA,"是否為末班車",NA
"Bus","Estimate","VehicleStopStatus","integer","Int32","車輛於該站之進離站狀態 : [0:'離站',1:'進站']",NA
"Bus","BusVersion","VersionID","integer","Int32","資料版本編號","int32"
"Bus","BusVersion","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusVersion","UpdateCheckTime","string","DateTime","此資料版本最後檢查更新之日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","Operator","ProviderID","string","String","資料提供平台代碼",NA
"Bus","Operator","OperatorID","string","String","營運業者代碼",NA
"Bus","Operator","OperatorName",NA,"NameType","營運業者名稱",NA
"Bus","Operator","OperatorPhone","string","String","營運業者連絡電話",NA
"Bus","Operator","OperatorEmail","string","String","營運業者電子信箱",NA
"Bus","Operator","OperatorUrl","string","String","營運業者網址鏈結",NA
"Bus","Operator","ReservationUrl","string","String","訂票網址鏈結",NA
"Bus","Operator","ReservationPhone","string","String","訂票連絡電話",NA
"Bus","Operator","OperatorCode","string","String","營運業者簡碼",NA
"Bus","Operator","AuthorityCode","string","String","營運業者業管機關簡碼(對於於公路客運/國道客運而言為THB)",NA
"Bus","Operator","SubAuthorityCode","string","String","營運業者所屬業管子機關簡碼(對於公路客運/國道客運路線而言為區監理所如THB-VO10-1..等)",NA
"Bus","Operator","OperatorNo","string","String","營運業者編號[交通部票證資料系統定義]",NA
"Bus","Operator","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusRoute","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusRoute","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusRoute","HasSubRoutes","boolean","Boolean","實際上是否有多條附屬路線。(此欄位值與SubRoutes結構並無強烈的絕對關聯。詳細說明請參閱swagger上方的【資料服務使用注意事項】)",NA
"Bus","BusRoute","Operators","array","Array","營運業者",NA
"Bus","BusRoute","AuthorityID","string","String","業管機關代碼",NA
"Bus","BusRoute","ProviderID","string","String","資料提供平台代碼",NA
"Bus","BusRoute","SubRoutes","array","Array","附屬路線資料(如果原始資料並無提供附屬路線ID，而本平台基於跨來源資料之一致性，會以SubRouteID=RouteID產製一份相對應的附屬路線資料(若有去返程，則會有兩筆))",NA
"Bus","BusRoute","BusRouteType","integer","Int32","公車路線類別 : [11:'市區公車',12:'公路客運',13:'國道客運',14:'接駁車']",NA
"Bus","BusRoute","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusRoute","DepartureStopNameZh","string","String","起站中文名稱",NA
"Bus","BusRoute","DepartureStopNameEn","string","String","起站英文名稱",NA
"Bus","BusRoute","DestinationStopNameZh","string","String","終點站中文名稱",NA
"Bus","BusRoute","DestinationStopNameEn","string","String","終點站英文名稱",NA
"Bus","BusRoute","TicketPriceDescriptionZh","string","String","票價中文敘述",NA
"Bus","BusRoute","TicketPriceDescriptionEn","string","String","票價英文敘述",NA
"Bus","BusRoute","FareBufferZoneDescriptionZh","string","String","收費緩衝區中文敘述",NA
"Bus","BusRoute","FareBufferZoneDescriptionEn","string","String","收費緩衝區英文敘述",NA
"Bus","BusRoute","RouteMapImageUrl","string","String","路線簡圖網址",NA
"Bus","BusRoute","City","string","String","路線權管所屬縣市(相當於市區公車API的City參數)[若為公路/國道客運路線則為空值]",NA
"Bus","BusRoute","CityCode","string","String","路線權管所屬縣市之代碼(國際ISO 3166-2 三碼城市代碼)[若為公路/國道客運路線則為空值]",NA
"Bus","BusRoute","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusRoute","VersionID","integer","Int32","資料版本編號","int32"
"Bus","RouteOperator","OperatorID","string","String","營運業者代碼",NA
"Bus","RouteOperator","OperatorName",NA,"NameType","營運業者名稱",NA
"Bus","RouteOperator","OperatorCode","string","String","營運業者簡碼",NA
"Bus","RouteOperator","OperatorNo","string","String","營運業者編號[交通部票證資料系統定義]",NA
"Bus","BusSubRoute","SubRouteUID","string","String","附屬路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusSubRoute","SubRouteID","string","String","地區既用中之附屬路線代碼(為原資料內碼)",NA
"Bus","BusSubRoute","OperatorIDs","array","Array","營運業者代碼",NA
"Bus","BusSubRoute","SubRouteName",NA,"NameType","附屬路線名稱",NA
"Bus","BusSubRoute","Headsign","string","String","車頭描述",NA
"Bus","BusSubRoute","HeadsignEn","string","String","車頭英文描述",NA
"Bus","BusSubRoute","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusSubRoute","FirstBusTime","string","String","平日第一班發車時間",NA
"Bus","BusSubRoute","LastBusTime","string","String","平日返程第一班發車時間",NA
"Bus","BusSubRoute","HolidayFirstBusTime","string","String","假日去程第一班發車時間",NA
"Bus","BusSubRoute","HolidayLastBusTime","string","String","假日返程第一班發車時間",NA
"Bus","BusStop","StopUID","string","String","站牌唯一識別代碼，規則為 {業管機關簡碼} + {StopID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusStop","StopID","string","String","地區既用中之站牌代碼(為原資料內碼)",NA
"Bus","BusStop","AuthorityID","string","String","業管機關代碼",NA
"Bus","BusStop","StopName",NA,"NameType","站牌名稱",NA
"Bus","BusStop","StopPosition",NA,"PointType","站牌位置",NA
"Bus","BusStop","StopAddress","string","String","站牌地址",NA
"Bus","BusStop","Bearing","string","String","方位角，E:東行;W:西行;S:南行;N:北行;SE:東南行;NE:東北行;SW:西南行;NW:西北行",NA
"Bus","BusStop","StationID","string","String","站牌所屬的站位ID",NA
"Bus","BusStop","StationGroupID","string","String","站牌所屬的組站位ID",NA
"Bus","BusStop","StopDescription","string","String","站牌詳細說明描述",NA
"Bus","BusStop","City","string","String","站牌權管所屬縣市(相當於市區公車API的City參數)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStop","CityCode","string","String","站牌權管所屬縣市之代碼(國際ISO 3166-2 三碼城市代碼)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStop","LocationCityCode","string","String","站牌位置縣市之代碼(國際ISO 3166-2 三碼城市代碼)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStop","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusStop","VersionID","integer","Int32","資料版本編號","int32"
"Bus","BusStation","StationUID","string","String","站位唯一識別代碼，規則為 {業管機關簡碼} + {StationID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusStation","StationID","string","String","站位代碼",NA
"Bus","BusStation","StationName",NA,"NameType","站位名稱",NA
"Bus","BusStation","StationPosition",NA,"PointType","站位位置",NA
"Bus","BusStation","StationAddress","string","String","站位地址",NA
"Bus","BusStation","StationGroupID","string","String","站牌所屬的組站位ID",NA
"Bus","BusStation","Stops","array","Array","站牌與所行經此站牌之路線列表(資料會對路線展開，因此可能會有重複的站牌資料)",NA
"Bus","BusStation","LocationCityCode","string","String","站牌位置縣市之代碼(國際ISO 3166-2 三碼城市代碼)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStation","Bearing","string","String","方位角，E:東行;W:西行;S:南行;N:北行;SE:東南行;NE:東北行;SW:西南行;NW:西北行",NA
"Bus","BusStation","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusStation","VersionID","integer","Int32","資料版本編號","int32"
"Bus","StationStop","StopUID","string","String","站牌唯一識別代碼，規則為 {業管機關簡碼} + {StopID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","StationStop","StopID","string","String","地區既用中之站牌代碼(為原資料內碼)",NA
"Bus","StationStop","StopName",NA,"NameType","站牌名稱",NA
"Bus","StationStop","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","StationStop","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","StationStop","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusDisplayStopOfRoute","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關代碼} + {RouteID}，其中 {業管機關代碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusDisplayStopOfRoute","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusDisplayStopOfRoute","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusDisplayStopOfRoute","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusDisplayStopOfRoute","Stops","array","Array","所有經過站牌",NA
"Bus","BusDisplayStopOfRoute","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusDisplayStopOfRoute","VersionID","integer","Int32","資料版本編號","int32"
"Bus","Stop","StopUID","string","String","站牌唯一識別代碼，規則為 {業管機關簡碼} + {StopID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","Stop","StopID","string","String","地區既用中之站牌代碼(為原資料內碼)",NA
"Bus","Stop","StopName",NA,"NameType","站牌名稱",NA
"Bus","Stop","StopBoarding","integer","Int32","上下車站別 : [-1:'可下車',0:'可上下車',1:'可上車']",NA
"Bus","Stop","StopSequence","integer","Int32","路線經過站牌之順序","int32"
"Bus","Stop","StopPosition",NA,"PointType","站牌位置",NA
"Bus","Stop","StationID","string","String","站牌所屬的站位ID",NA
"Bus","Stop","StationGroupID","string","String","站牌所屬的組站位ID",NA
"Bus","Stop","LocationCityCode","string","String","站牌位置縣市之代碼(國際ISO 3166-2 三碼城市代碼)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStopOfRoute","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusStopOfRoute","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusStopOfRoute","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusStopOfRoute","Operators","array","Array","營運業者",NA
"Bus","BusStopOfRoute","SubRouteUID","string","String","附屬路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusStopOfRoute","SubRouteID","string","String","地區既用中之附屬路線代碼(為原資料內碼)",NA
"Bus","BusStopOfRoute","SubRouteName",NA,"NameType","附屬路線名稱",NA
"Bus","BusStopOfRoute","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusStopOfRoute","City","string","String","站牌權管所屬縣市(相當於市區公車API的City參數)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStopOfRoute","CityCode","string","String","站牌權管所屬縣市之代碼(國際ISO 3166-2 三碼城市代碼)[若為公路/國道客運路線則為空值]",NA
"Bus","BusStopOfRoute","Stops","array","Array","所有經過站牌",NA
"Bus","BusStopOfRoute","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusStopOfRoute","VersionID","integer","Int32","資料版本編號","int32"
"Bus","BusSchedule","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusSchedule","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusSchedule","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusSchedule","SubRouteUID","string","String","附屬路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusSchedule","SubRouteID","string","String","地區既用中之附屬路線代碼(為原資料內碼)",NA
"Bus","BusSchedule","SubRouteName",NA,"NameType","附屬路線名稱",NA
"Bus","BusSchedule","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusSchedule","OperatorID","string","String","營運業者代碼",NA
"Bus","BusSchedule","OperatorCode","string","String","營運業者簡碼",NA
"Bus","BusSchedule","Timetables","array","Array","預定班表",NA
"Bus","BusSchedule","Frequencys","array","Array","發車班距",NA
"Bus","BusSchedule","UpdateTime","string","DateTime","資料更新日期時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusSchedule","VersionID","integer","Int32","資料版本編號","int32"
"Bus","BusTimetable","TripID","string","String","班次代碼",NA
"Bus","BusTimetable","ServiceDay",NA,"ServiceDay","週內營運日",NA
"Bus","BusTimetable","SpecialDays","array","Array","特殊營運日",NA
"Bus","BusTimetable","StopTimes","array","Array","公車停靠時間資料",NA
"Bus","SpecialDay","Dates","array","Array","不連續特殊日期",NA
"Bus","SpecialDay","DatePeriod",NA,"DatePeriod","連續特殊日期",NA
"Bus","SpecialDay","ServiceStatus","integer","Int32","營運服務狀態代碼 : [0:'正常營運',1:'加班營運',2:'取消/停駛營運']",NA
"Bus","SpecialDay","Description","string","String","特殊營運描述",NA
"Bus","DatePeriod","StartDate","string","String","營運起始日(格式: yyyy-MM-dd)",NA
"Bus","DatePeriod","EndDate","string","String","營運結束日(格式: yyyy-MM-dd)",NA
"Bus","BusStopTime","StopSequence","integer","Int32","路線經過站牌之順序(由1開始)","int32"
"Bus","BusStopTime","StopUID","string","String","站牌唯一識別代碼，規則為 {業管機關代碼} + {StopID}，其中 {業管機關代碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusStopTime","StopID","string","String","地區既用中之站牌代碼(為原資料內碼)",NA
"Bus","BusStopTime","StopName",NA,"NameType","站牌名稱",NA
"Bus","BusStopTime","ArrivalTime","string","String","到站時間，格式為:HH:mm",NA
"Bus","BusStopTime","DepartureTime","string","String","離站時間，格式為:HH:mm",NA
"Bus","ServiceDay","ServiceTag","string","String","服務日標籤",NA
"Bus","ServiceDay","Sunday","integer","Int32","星期日是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","Monday","integer","Int32","星期一是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","Tuesday","integer","Int32","星期二是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","Wednesday","integer","Int32","星期三是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","Thursday","integer","Int32","星期四是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","Friday","integer","Int32","星期五是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","Saturday","integer","Int32","星期六是否營運 : [0:'否',1:'是']",NA
"Bus","ServiceDay","NationalHolidays","integer","Int32","國定假日營運與否 : [0:'否',1:'是']",NA
"Bus","BusFrequency","StartTime","string","String","發車班距起始適用時間，格式為: HH:mm",NA
"Bus","BusFrequency","EndTime","string","String","發車班距結束適用時間，格式為: HH:mm",NA
"Bus","BusFrequency","MinHeadwayMins","integer","Int32","最小班距時間(分鐘)","int32"
"Bus","BusFrequency","MaxHeadwayMins","integer","Int32","最大班距時間(分鐘)","int32"
"Bus","BusFrequency","ServiceDay",NA,"ServiceDay","週內營運日",NA
"Bus","BusFrequency","SpecialDays","array","Array","特殊營運日",NA
"Bus","BusVehicleInfo","PlateNumb","string","String","車牌號碼",NA
"Bus","BusVehicleInfo","OperatorID","string","String","營運業者代碼",NA
"Bus","BusVehicleInfo","OperatorCode","string","String","營運業者簡碼",NA
"Bus","BusVehicleInfo","VehicleClass","integer","Int32","車輛種類 : [1:'大型巴士',2:'中型巴士',3:'小型巴士',4:'雙層巴士',5:'雙節巴士',6:'計程車']",NA
"Bus","BusVehicleInfo","VehicleType","integer","Int32","車輛種類 : [0:'一般',1:'無障礙公車',2:'復康巴士',3:'小型巴士',4:'專車',5:'其他']",NA
"Bus","BusVehicleInfo","CardReaderLayout","integer",NA,"讀卡機配置(0:無讀卡機配置;1:前門刷卡;2:前後門刷卡)","int32"
